id,number,artist,title,genre,year,artwork_path
1,A 1 a,Abba,Waterloo,Songfestival # 1 Zweden,1974,
2,A 1 b,Abba,Watch out,disco,1974,
3,A 2 a,Abba,"Honey, Honey",,1974,
4,A 2 b,Abba,Hasta mañana,,1974,
5,A 3 a,Abba,SOS,,1975,
6,A 3 b,Abba,Man in the middle,,1975,
7,A 4 a,Abba,Mamma mia,,1975,
8,A 4 b,Abba,Intermezzo,,1975,
9,A 5 a,Abba,Fernando,,1976,
10,A 5 b,Abba,Tropical Loveland,,1976,
11,A 6 a,Abba,Dancing Queen,,1976,
12,A 6 b,Abba,That's me,,1976,
13,A 7 a,Abba,"Money, money, money",,1976,
14,A 7 b,Abba,Crazy world,,1976,data/artwork/14.jpg
16,A 8 b,Abba,Happy Hawaii,,1977,
17,A 8 a,Abba,"Knowing me, knowing you",,1977,
18,A 9 a,Abba,The name of the game,,1977,
19,A 9 b,Abba,I wonder (Departure),,1977,
20,A 10 a,Abba,Eagle,,1977,
21,A 10 b,Abba,Thank you for the music,,1977,
22,A 11 a,Abba,Summer night city,,1978,
23,A 11 b,Abba,Medley,,1975,
24,A 12 a,Abba,Chiquitita,,1978,
25,A 12 b,Abba,Lovelight,,1978,
26,A 13,"Abdul Hassan Orchestra, the",Arabian affair,,1978,
27,A 15,AC-DC,Rock'n Roll Damnation,,1978,
28,A 16,Adamo,"Vous permettez, monsieur ?",,1964,
30,A 17 a,Adriano Celentano,Prisencólinensináinciúsol,,1973,
31,A 17 b,Adriano Celentano,Disc Jockey,,1973,
32,A 18,Afric Simone,Playa Blanca,,1976,
33,A 19 a,Björn & Benny - Anna & Frida (Abba),Ring Ring,,1973,
34,A 19 b,Björn & Benny - Anna & Frida (Abba),Rock'n Roll Band,,1973,
35,A 20,Air Bubble,Racing car,,1976,
36,A 21,Air Bubble,Marble breaks,,1976,
37,A 22,Al Martino,Volare,,1975,
38,A 23,Al Stewart,Year of the cat,,1977,
39,A 24,Albert Hammond,The Peacemaker,,1973,
40,A 25,Albert Hammond,Air Disaster,,1974,
41,A 26,Albert West,Ginny come lately,,1973,
42,A 27,Albert West,Put your head on my shoulder,,1973,
43,A 28 a,Albert West,Simone,,1974,
